author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/292984012/,Москва,sale,flat,4,14,3,118.0,-1,0,100000000,Пресненский,Большая Грузинская ,19,Баррикадная,
WELHOME,real_estate_agent,https://www.cian.ru/sale/flat/301354511/,Москва,sale,flat,4,8,3,145.7,-1,0,235000000,Замоскворечье,Большая Татарская ,7к2,Новокузнецкая,Четыре солнца
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/300934494/,Москва,sale,flat,2,12,3,110.5,-1,0,49500000,Раменки, Столетова,7,Ломоносовский проспект,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/294509004/,Москва,sale,flat,2,4,3,125.0,-1,0,250000000,Пресненский,Хлебный переулок,24,Арбатская,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/295848893/,Москва,sale,flat,3,6,3,158.6,-1,0,290000000,Хамовники,переулок Хилков,5,Парк Культуры,Особняк в Хилковом переулке
НДВ,real_estate_agent,https://www.cian.ru/sale/flat/298937754/,Москва,sale,flat,12,12,3,64.0,-1,0,16500000,Кунцево, Ивана Франко,38К1,Рабочий посёлок,
Капиталъ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300988166/,Москва,sale,flat,3,6,3,137.0,-1,0,164000000,Якиманка, Большая Якиманка,15,Полянка,Mon Cher
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301547092/,Москва,sale,flat,5,26,3,64.3,-1,0,39950000,Аэропорт,Ленинградский проспект,36с36,Динамо,ВТБ Арена парк
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/301434817/,Москва,sale,flat,3,19,3,67.0,-1,0,44000000,Беговой,Ленинградский проспект,29к1,Динамо,Царская площадь
Юлия Иванова,realtor,https://www.cian.ru/sale/flat/300776748/,Москва,sale,flat,20,57,3,82.3,-1,0,49900000,Хорошево-Мневники, Народного Ополчения,15К3,Народное Ополчение,Wellton Towers
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/299063248/,Москва,sale,flat,3,17,3,76.1,-1,0,34000000,Теплый Стан,Ленинский проспект,127,Тропарёво,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/300116453/,Москва,sale,flat,9,14,3,83.0,-1,0,98000000,Мещанский, Советской Армии,6,Достоевская,Barkli Park
